Key,Value
PurchasePromptScript.PURCHASE_FAILED.CANNOT_GET_BALANCE,Dein Kontostand kann derzeit nicht abgerufen werden. Dein Konto wurde nicht belastet. Bitte versuche es später erneut.
PurchasePromptScript.ERROR_MSG.MAINTENANCE,ROBLOX Wartungsarbeiten durchführt
PurchasePromptScript.setBuyMoreRobuxDialog.PostBalanceText,Die verbleibenden {RBX_NUMBER} ROBUX werden deinem Konto gutgeschrieben.
PurchasePromptScript.PURCHASE_FAILED.THIRD_PARTY_DISABLED,Artikel von Drittanbietern können an diesem Ort nicht verkauft werden. Dein Konto wurde nicht belastet.
PurchasePromptScript.PURCHASE_FAILED.NOT_ENOUGH_TIX,"Dieser Artikel kostet mehr Tickets, als du derzeit besitzt. Auf www.roblox.com kannst du Währungen tauschen, um mehr Tickets zu erhalten."
PurchasePromptScript.PURCHASE_FAILED.NOT_FOR_SALE,Dieser Artikel steht derzeit nicht zum Verkauf. Dein Konto wurde nicht belastet.
PurchasePromptScript.setPurchaseDataInGui.invalidBC,"Dieser Artikel erfordert {RBX_NAME1}. Klicke auf „Aufwerten“, um deinen Builders-Club-Status zu verbessern!"
PurchasePromptScript.PURCHASE_FAILED.LIMITED,Von diesem limitierten Artikel gibt es keine weiteren Exemplare. Such auf www.roblox.com nach einem anderen Verkäufer. Dein Konto wurde nicht belastet.
PurchasePromptScript.PURCHASE_MSG.PURCHASE,Möchtest du {RBX_NAME1} {RBX_NAME2} kaufen für:
PurchasePromptScript.PURCHASE_FAILED.CANNOT_GET_ITEM_PRICE,Der Preis des Artikels kann derzeit nicht abgerufen werden. Dein Konto wurde nicht belastet. Bitte versuche es später erneut.
PurchasePromptScript.PURCHASE_MSG.FREE,Möchtest du „{RBX_NAME2}“ gerne GRATIS nehmen?
PurchasePromptScript.PURCHASE_FAILED.PROMPT_PURCHASE_ON_GUEST,"Du musst ein ROBLOX-Konto erstellen, um Artikel zu kaufen. Auf www.roblox.com findest du weitere Infos."
PurchasePromptScript.setBuyMoreRobuxDialog.descriptionText,"Du brauchst noch {RBX_NUMBER} ROBUX, um {RBX_NAME1} {RBX_NAME2} zu kaufen. Möchtest du mehr ROBUX kaufen?"
PurchasePromptScript.PURCHASE_FAILED.UNDER_13,Dein Konto ist für Spieler unter 13 Jahren. Der Kauf dieses Artikels ist nicht gestattet. Dein Konto wurde nicht belastet.
PurchasePromptScript.PURCHASE_MSG.BALANCE_FUTURE,Nach dieser Transaktion wird dein Kontostand {RBX_NUMBER} betragen.
PurchasePromptScript.PURCHASE_MSG.BALANCE_NOW,Dein Kontostand beträgt nun {RBX_NUMBER}.
PurchasePromptScript.ERROR_MSG.FAILED_NO_ITEM_NAME,Dein Kauf ist fehlgeschlagen. Grund: {ERROR_REASON}. Dein Konto wurde nicht belastet. Bitte versuche es später erneut.
PurchasePromptScript.PURCHASE_MSG.FAILED,"Du konntest „{RBX_NAME1}“ nicht kaufen, da {RBX_NAME2}. Dein Konto wurde nicht belastet. Bitte versuche es später erneut."
PurchasePromptScript.PURCHASE_MSG.SUCCEEDED,Du hast „{RBX_NAME1}“ gekauft!
PurchasePromptScript.ERROR_MSG.UNKNOWN,ein Problem aufgetreten ist
PurchasePromptScript.ERROR_MSG.INVALID_FUNDS,dein Konto nicht über genügend ROBUX verfügt
StatsUtil.KBps,{RBX_NUMBER} KB/S
StatsUtil.MB,{RBX_NUMBER} MB
StatsUtil.ms,{RBX_NUMBER} ms
Network,(Netzwerk)
GameChat_ChatCommandsTeller_SwitchChannelCommand,/c <Kanal> : Zum Wechseln zwischen Kanalmenüreitern.
GameChat_ChatCommandsTeller_MeCommand,/me <Text> : Rollenspielbefehl für Aktionen.
GameChat_ChatCommandsTeller_MuteCommand,/mute <Sprecher> : Schaltet Sprecher stumm.
GameChat_ChatCommandsTeller_UnMuteCommand,/unmute <Sprecher> : Hebt Stummschaltung eines Sprechers auf.
GameChat_ChatCommandsTeller_WhisperCommand,/whisper <Sprecher> oder /w <Sprecher> : Öffnet privaten Nachrichtenkanal mit Sprecher.
Average,Durchschnitt
GameChat_ChatServiceRunner_ChannelDoesNotExist,Kanal „{RBX_NAME}“ existiert nicht.
GameChat_ChatCommandsTeller_AllChannelWelcomeMessage,"Gib „/?“ oder „/help“ im Chat ein, um eine Liste der Chatbefehle zu erhalten."
GameChat_SwallowGuestChat_Message,"Erstelle ein kostenloses Konto, um Zugriff auf Chatberechtigungen zu erhalten!"
Current,Aktuell
DisableVoiceKey,Sprachchat deaktivieren
EnableVoiceKey,Sprachchat aktivieren
key_142,Neuer Freund {RBX_NAME}
KEY_DESCRIPTION_OPTIONAL,Optional
key_145,Punkte verliehen Du hast {RBX_NUMBER} Punkte erhalten!
Received,Empfangen
BACKPACK_SEARCH,Suchen
KEY_DESCRIPTION_SHORT_DECRIPTION_OPTIONAL,Kurzbeschreibung (optional)
GameChat_MuteSpeaker_SpeakerDoesNotExist,"Sprecher ""{RBX_NAME}"" existiert nicht."
GameChat_ChatMain_SpeakerHasBeenBlocked,"Sprecher ""{RBX_NAME}"" wurde blockiert."
GameChat_ChatMain_SpeakerHasBeenMuted,"Sprecher ""{RBX_NAME}"" wurde stummgeschaltet."
GameChat_ChatMain_SpeakerHasBeenUnBlocked,"Blockierung von Sprecher ""{RBX_NAME}"" wurde aufgehoben."
GameChat_ChatMain_SpeakerHasBeenUnMuted,"Stummschaltung von Sprecher ""{RBX_NAME}"" wurde aufgehoben."
GameChat_ChatMain_ChatBarTextTouch,Tippe zum Chatten hier.
Target,Ziel
GameChat_ChatService_ChatFilterIssues,Es gibt derzeit Probleme mit dem Chatfilter. Nachrichten können deshalb mit Verzögerung angezeigt werden.
GameChat_ChatCommandsTeller_Desc,Das sind die grundlegenden Chatbefehle.
GameChat_TeamChat_WelcomeMessage,Dies ist ein privater Kanal für dich und deine Teammitglieder.
GameChat_ChatMain_ChatBarText,Klicke zum Chatten hier oder drücke die „/“-Taste.
GameChat_ChatChannel_MutedInChannel,Du wurdest stummgeschaltet und kannst in diesem Kanal nicht kommunizieren.
GameChat_ChatServiceRunner_YouAreNotInChannel,Du befindest dich nicht in Kanal „{RBX_NAME}“.
GameChat_SwitchChannel_NotInChannel,Du befindest dich nicht in Kanal „{RBX_NAME}“.
GameChat_TeamChat_NowInTeam,Du bist nun Mitglied im Team „{RBX_NAME}“.
GameChat_PrivateMessaging_NowChattingWith,Du unterhältst dich nun privat mit {RBX_NAME}.
