Key,Value
Common.UGCValidation.ErrorLabel.CurveAnim_InvalidBodyPartHierarchy,"CurveAnimation enthält den Körperteil-Ordner {folderName}, der eine ungültige Hierarchie aufweist (er hat untergeordnete Elemente, die nicht zulässig oder falsch eingerichtet sind)"
Common.UGCValidation.ErrorLabel.CurveAnim_InvalidBoneName,"Der Ordner ""{boneName}"" in CurveAnimation ist kein anerkannter HRD/DRD-Knochenname. Animationsunterordner müssen entweder gültige R15-Körperteile oder anerkannte Knochennamen sein (z. B. HeadBase, Spine, Chest, LeftClavicle, RightClavicle, LeftToeBase, RightToeBase oder Fingerknochen wie LeftHandIndex1)."
Common.UGCValidation.ErrorLabel.CurveAnim_InvalidCurveData,CurveAnimation enthält Kurven mit einer ungültigen Zeit oder einem ungültigen Wert. Bitte korrigiere die Animation.
Common.UGCValidation.ErrorLabel.CurveAnim_InvalidInstanceTypes,Die CurveAnimation-Hierarchie darf nur {allowedTypes} enthalten. Bitte entferne alle anderen Instanz-Arten.
Common.UGCValidation.ErrorLabel.CurveAnim_InvalidLength,CurveAnimation muss zwischen {minLength} und {maxLength} Sekunden lang sein. Bitte korrigiere die Animation.
Common.UGCValidation.ErrorLabel.CurveAnim_InvalidMarkerData,"CurveAnimation enthält MarkerCurves mit ungültiger Zeit oder ungültigem Wert, oder der Wert ist zu lang. Bitte korrigiere die Animation."
Common.UGCValidation.ErrorLabel.CurveAnim_InvalidNumericalData,CurveAnimation enthält Kurven mit ungültigen numerischen Daten. Bitte korrigiere die Animation.
Common.UGCValidation.ErrorLabel.CurveAnim_InvalidRigData,"AnimationRigData hat die interne Validierung nicht bestanden. Bitte vergewissere dich, dass AnimationRigData korrekt eingerichtet ist."
Common.UGCValidation.ErrorLabel.CurveAnim_InvalidRigDataR15Plus,"AnimationRigData hat die interne Validierung R15+ nicht bestanden. Bitte vergewissere dich, dass AnimationRigData korrekt für Knochenanimationen eingerichtet ist."
Common.UGCValidation.ErrorLabel.CurveAnim_InvalidTags,CurveAnimation darf nur eine einzige Zeitstempel-Markierung enthalten. Bitte entferne alle anderen Markierungen.
Common.UGCValidation.ErrorLabel.CurveAnim_JointRotationExceeded,In der CurveAnimation hat das Gelenk {bodyPart} zum Zeitpunkt {time} Sekunden einen Rotationswinkel von {rotation} Grad von der Ruheposition. Der maximal zulässige Wert beträgt {maxRotation} Grad. Bitte korrigiere die Animation.
Common.UGCValidation.ErrorLabel.CurveAnim_KeysTooClose,"CurveAnimation enthält die Kurve {curvePath} mit Schlüsseln, die zeitlich zu dicht beieinander liegen für eine Animation mit maximal {maxFPS} Ego-Shootern. Bitte korrigiere die Animation."
Common.UGCValidation.ErrorLabel.CurveAnim_LoopingNotEnabled,"Bei CurveAnimation '{animationName}' ist Loop nicht aktiviert. Animationen, die auf den Marktplatz hochgeladen werden, müssen in einer Schleife laufen. Bitte aktiviere die Loop-Eigenschaft."
Common.UGCValidation.ErrorLabel.CurveAnim_MultipleBodyRoots,"CurveAnimation enthält mehr als einen untergeordneten Ordner mit dem Namen eines Körperteils oder ""HumanoidRootPart"". Bitte stelle sicher, dass es nur einen untergeordneten Ordner gibt, der nach einem Körperteil oder ""HumanoidRootPart"" benannt ist."
Common.UGCValidation.ErrorLabel.CurveAnim_MultipleRigData,"CurveAnimation enthält mehr als ein untergeordnetes AnimationRigData-Element. Bitte stelle sicher, dass es nur ein untergeordnetes AnimationRigData-Element gibt."
Common.UGCValidation.ErrorLabel.CurveAnim_NegativeKeyTime,"CurveAnimation enthält die Kurve {curvePath} mit einem Schlüssel, der eine negative Zeit hat. Bitte korrigiere die Animation."
