Key,Value
Common.UGCValidation.ErrorLabel.AccessorySkinning_WeightNotFull,يجب أن تكون الرؤوس المربوطة بمفاصل النقل مُوزَّعة الأوزان بالكامل.
Common.UGCValidation.ErrorLabel.AnimationPack_DuplicateAnimationId,"تحتوي حزمة الرسوم المتحركة على معرّف حركة مكرر باسم ""{animationId}"" مستخدم بواسطة مقاطع متعددة: {instancePaths}. يجب أن يشير كل مقطع حركة إلى أصل حركة فريد."
Common.UGCValidation.ErrorLabel.AnimationPack_InvalidR15AnimChildren,الحزمة الخاصة بحزمة الرسوم المتحركة تفتقد نوع (أنواع) الحركة المتوقعة: {missingAnimationTypes}. يجب أن يحتوي كل نوع حركة على مجلد R15Anim واحد يحتوي بالضبط على فروع StringValue المتوقعة.
Common.UGCValidation.ErrorLabel.Animation_WeightNotPositive,"تحتوي الحركة ""{animationName}"" على قيمة وزن {weight}، ولكن يجب أن يكون الوزن أكبر من 0. يُرجى إصلاح الحركة."
Common.UGCValidation.ErrorLabel.AssetSchemaMissingItem,تعذَّر العثور على {ExpectedClass} المطلوب باسم {ExpectedName} في {ParentPath}
Common.UGCValidation.ErrorLabel.AssetSchemaUnexpectedItems,الحالات التالية ليست جزءًا من المخطط المعتمد ويجب إزالتها: {UnexpectedDescendantPaths}.
Common.UGCValidation.ErrorLabel.AssetSchemaWrongRootClass,يجب أن يكون الأصل الذي تم تحميله من نوع {ExpectedClass} لكنه من نوع {RootClass}.
Common.UGCValidation.ErrorLabel.AssetSchemaWrongRootName,يجب أن يُسمّى الأصل الذي تم تحميله {ExpectedClass}، ولكنه مُسمّى حاليًا {RootClass}.
Common.UGCValidation.ErrorLabel.ContentNotEditable,لا تزال الخاصية {InstanceFullName}.{FieldName} تحتوي على محتوى قابل للتحرير غير محفوظ. احفظها كأصل قبل النشر وحاول مرة أخرى.
Common.UGCValidation.ErrorLabel.CurveAnim_BodyPartHasPosition,"يحتوي جزء الجسد ""{bodyPartName}"" في CurveAnimation على مسار موضع (الإزاحة). يمكن تدوير أجزاء جسد الحركة فقط؛ ومسارات الموضع غير مسموح بها. يُرجى إزالة مسار الموضع من جزء الجسد هذا."
Common.UGCValidation.ErrorLabel.CurveAnim_BodyPartTranslationExceedsThreshold,"يتحرك جزء الجسد ""{bodyPartName}"" في CurveAnimation بمقدار {distance} من الأزرار عن موضعه الأولي. الحد الأقصى المسموح به للإزاحة هو {maxDistance} من الأزرار. يُرجى تقليل حركة موضع جزء الجسد."
Common.UGCValidation.ErrorLabel.CurveAnim_BodyPartWithBoneHasPosition,"يحتوي CurveAnimation على عظام HRD/DRD، ويحتوي جزء الجسد ""{bodyPartName}"" على مسار موضع (الإزاحة). عند وجود أي عظام في الحركات، لا يجوز لأي أجزاء من الجسد أن تحتوي على إزاحة لمنع انفصال المفاصل. يُرجى إزالة جميع مسارات الموضع من أجزاء الجسد."
Common.UGCValidation.ErrorLabel.CurveAnim_BonePositionNotAllowed,يحتوي العظم {boneName} في CurveAnimation على مسار موضع (الإزاحة). يمكن تدوير عظام HRD/DRD فقط؛ وتسبب مسارات الموضع فصل المفاصل وهي غير مسموح بها. يُرجى إزالة حركة الموضع من هذا العظم.
Common.UGCValidation.ErrorLabel.CurveAnim_BoneTranslationExceedsThreshold,"يتحرك العظم ""{boneName}"" في CurveAnimation بمقدار {distance} من الأزرار عن موضعه الأولي. الحد الأقصى المسموح به للإزاحة هو {maxDistance} من الأزرار. يُرجى تقليل حركة موضع العظم."
Common.UGCValidation.ErrorLabel.CurveAnim_BonesNotAllowed,يحتوي CurveAnimation على مجلدات عظام HRD/DRD غير مدعومة حاليًا. يُرجى إزالة جميع المجلدات الفرعية للعظام قبل الرفع.
Common.UGCValidation.ErrorLabel.CurveAnim_BoundsExceeded,لا يمكن أن تكون أجزاء الجسد في CurveAnimation أسفل {minHeight} من الأزرار أو على بعد أكثر من {maxDistance} من الأزرار عن HumanoidRootPart. يُرجى إصلاح الحركة.
Common.UGCValidation.ErrorLabel.CurveAnim_ChildrenOnMarkerOrRig,لا يمكن أن يحتوي العنصران الفرعيان MarkerCurves وAnimationRigData في CurveAnimation على عناصر فرعية
Common.UGCValidation.ErrorLabel.CurveAnim_ContainsScripts,يحتوي تسلسل CurveAnimation الهرمي على Scripts أو LocalScripts أو ModuleScripts. يُرجى إزالتها.
Common.UGCValidation.ErrorLabel.CurveAnim_FetchFailed,تعذَّر تحميل بيانات CurveAnimation. قد يكون أصل الحركة غير صالح أو يتعذَّر الوصول إليه.
Common.UGCValidation.ErrorLabel.CurveAnim_InvalidBodyPartHierarchy,تحتوي CurveAnimation على مجلد جزء الجسد {folderName} والذي يتضمن تسلسلًا هرميًا غير صالح (يحتوي على عناصر تابعة غير مسموح بها أو تم إعدادها بشكل غير صحيح)
Common.UGCValidation.ErrorLabel.CurveAnim_InvalidBoneName,"المجلد ""{boneName}"" في CurveAnimation ليس اسم عظم HRD/DRD معترفًا به. يجب أن تكون المجلدات الفرعية للحركة إما أجزاء جسد R15 صالحة أو أسماء عظام معترف بها (مثل HeadBase وSpine وChest وLeftClavicle وRightClavicle وLeftToeBase وRightToeBase أو عظام الأصابع مثل LeftHandIndex1)."
Common.UGCValidation.ErrorLabel.CurveAnim_InvalidCurveData,تحتوي CurveAnimation على Curves ذات وقت أو قيمة غير صالحة. يُرجى إصلاح الحركة.
Common.UGCValidation.ErrorLabel.CurveAnim_InvalidInstanceTypes,يمكن لتسلسل CurveAnimation الهرمي أن يحتوي فقط على {allowedTypes}. يُرجى إزالة أي أنواع حالات أخرى من التسلسل الهرمي.
Common.UGCValidation.ErrorLabel.CurveAnim_InvalidLength,يجب أن يتراوح طول CurveAnimation بين {minLength} و{maxLength} ثانية. يُرجى إصلاح الحركة.
Common.UGCValidation.ErrorLabel.CurveAnim_InvalidMarkerData,تحتوي CurveAnimation على MarkerCurves ذات وقت أو قيمة غير صالحة، أو أن القيمة طويلة جدًا. يُرجى إصلاح الحركة.
Common.UGCValidation.ErrorLabel.CurveAnim_InvalidNumericalData,تحتوي CurveAnimation على Curves بها بيانات رقمية غير صالحة. يُرجى إصلاح الحركة.
Common.UGCValidation.ErrorLabel.CurveAnim_InvalidRigData,فشل التحقق الداخلي من صحة AnimationRigData. يُرجى التأكد من إعداد AnimationRigData بشكل صحيح.
Common.UGCValidation.ErrorLabel.CurveAnim_InvalidRigDataR15Plus,فشل التحقق الداخلي من صحة AnimationRigData R15+. يُرجى التأكد من إعداد AnimationRigData بشكل صحيح لحركات العظام.
Common.UGCValidation.ErrorLabel.CurveAnim_InvalidTags,يمكن أن يحتوي CurveAnimation على وسم وقت واحد فقط. يُرجى إزالة جميع الوسوم الأخرى.
Common.UGCValidation.ErrorLabel.CurveAnim_JointRotationExceeded,في CurveAnimation عند الزمن {time} ثانية، يحتوي المفصل {bodyPart} على زاوية دوران مقدارها {rotation} من الدرجات عن وضعية الراحة. الحد الأقصى المسموح به هو {maxRotation} من الدرجات. يُرجى إصلاح الحركة.
Common.UGCValidation.ErrorLabel.CurveAnim_KeysTooClose,تحتوي CurveAnimation على Curve {curvePath} به مفاتيح متقاربة جدًا زمنيًا بالنسبة لحركة بحد أقصى {maxFPS} إطار/ثانية. يُرجى إصلاح الحركة.
Common.UGCValidation.ErrorLabel.CurveAnim_LoopingNotEnabled,"لم يتم تمكين خاصية Loop على CurveAnimation ""{animationName}"". يجب أن تكون الحركات التي يتم رفعها إلى المتجر قابلة للتكرار. يُرجى تمكين خاصية Loop."
Common.UGCValidation.ErrorLabel.CurveAnim_MultipleBodyRoots,تحتوي CurveAnimation على أكثر من مجلد فرعي واحد يحمل اسم جزء من الجسد أو HumanoidRootPart. يُرجى التأكد من وجود مجلد فرعي واحد فقط يحمل اسم جزء من الجسد أو HumanoidRootPart.
Common.UGCValidation.ErrorLabel.CurveAnim_MultipleRigData,تحتوي CurveAnimation على أكثر من عنصر فرعي واحد من نوع AnimationRigData. يُرجى التأكد من وجود عنصر فرعي واحد فقط من نوع AnimationRigData.
Common.UGCValidation.ErrorLabel.CurveAnim_NegativeKeyTime,تحتوي CurveAnimation على Curve {curvePath} به مفتاح له وقت سالب. يُرجى إصلاح الحركة.
Common.UGCValidation.ErrorLabel.CurveAnim_NoBodyRoot,لا تحتوي CurveAnimation على أي مجلد فرعي يحمل اسم جزء من الجسد أو HumanoidRootPart. يُرجى التأكد من وجود مجلد فرعي واحد فقط (لا غير) يحمل اسم جزء من الجسد أو HumanoidRootPart.
Common.UGCValidation.ErrorLabel.CurveAnim_NoJointManipulation,لا يحتوي CurveAnimation على أي تعديل للمفاصل.
Common.UGCValidation.ErrorLabel.CurveAnim_NoRigData,لا تحتوي CurveAnimation على أي عناصر فرعية من نوع AnimationRigData. يُرجى التأكد من وجود عنصر فرعي واحد فقط (لا غير) من نوع AnimationRigData.
