Key,Value
Authentication.CrossDevice.Label.SigninInstructionOne,1. Ouvre la page de connexion sur ton nouvel appareil
Authentication.CrossDevice.Label.SigninInstructionThree,3. Saisis ce code dans le champ ci-dessous
Authentication.CrossDevice.Label.SigninInstructionTwo,2. Sélectionne Connexion rapide pour recevoir un code
Authentication.CrossDevice.Label.Warning1,• n'entres que les codes que tu as demandés
Authentication.CrossDevice.Label.Warning2,• n'as jamais entré le code d'un autre utilisateur
Authentication.CrossDevice.Response.InvalidCode,Le code que tu as rentré n'est pas valide. Vérifie si tu l'as saisi correctement.
Authentication.CrossDevice.Response.LoginFail,Échec de la connection
Authentication.CrossDevice.Response.LoginSuccess,Connexion réussie
Authentication.Login.Action.ConnectionError.RetryReady,
Authentication.Login.Action.ConnectionError.RetryWait,Réessayer dans: {WaitTime}
Authentication.Login.Action.Continue,
Authentication.Login.Action.DownloadNow,Télécharger
Authentication.Login.Action.EmailACode,Envoyer un code par e-mail
Authentication.Login.Action.EmailMeCode,Recevoir un code par e-mail
Authentication.Login.Action.EmailOtpWaitTime,Renvoyer le code dans {WaitTime}s
Authentication.Login.Action.ForgotPasswordOrUsernameQuestionCapitalized,Mot de passe ou nom d'utilisateur oublié ?
Authentication.Login.Action.ForgotUsername,Nom d'utilisateur oublié ?
Authentication.Login.Action.ForgotUsernameOrPassword,Nom d'utilisateur ou mot de passe oublié ?
Authentication.Login.Action.LogInEmailOneTimeCode,Envoyez-moi un code unique par email
Authentication.Login.Action.NeedHelp,Besoin d'aide?
Authentication.Login.Action.Next,
Authentication.Login.Action.QQLogin,Connexion QQ
Authentication.Login.Action.QuickSignIn,
Authentication.Login.Action.ResendCode,
